股票代码,企业名称,年份,数字化转型指数(0-100分),人工智能词频数,大数据词频数,云计算词频数,区块链词频数,数字技术运用词频数,总词频数
600660,福耀玻璃,2000,0,0,0,0,0,0,0
600661,交大南洋,2000,0,0,0,0,0,0,0
600662,强生控股,2000,0,0,0,0,0,0,0
600663,陆家嘴,2000,0,0,0,0,0,0,0
600664,哈药集团,2000,0,0,0,0,0,0,0
600665,沪昌特钢,2000,0,0,0,0,0,0,0
600666,西南药业,2000,0,0,0,0,0,0,0
600667,太极实业,2000,0,0,0,0,0,0,0
600668,尖峰集团,2000,0,0,0,0,0,0,0
600669,ST鞍合,2000,0,0,0,0,0,0,0
600670,ST高斯,2000,0,0,0,0,0,0,0
600671,天目药业,2000,0,0,0,0,0,0,0
600672,英豪科教,2000,0,0,0,0,0,0,0
600673,成量股份,2000,0,0,0,0,0,0,0
600674,川投控股,2000,0,0,0,0,0,0,0
600675,中华企业,2000,0,0,0,0,0,3,3
600676,交运股份,2000,0,0,0,0,0,0,0
600677,航天中汇,2000,0,0,0,0,0,0,0
600678,四川金顶,2000,0,0,0,0,0,0,0
600679,凤凰股份,2000,0,0,0,0,0,0,0
600680,上海邮通,2000,0,0,0,0,0,0,0
600681,诚成文化,2000,0,0,0,0,0,1,1
600682,南京新百,2000,0,0,0,0,0,0,0
600683,宁波华联,2000,0,0,0,0,0,0,0
600684,珠江实业,2000,0,0,0,0,0,0,0
600685,广船国际,2000,0,0,0,0,0,0,0
600686,厦门汽车,2000,0,0,0,0,0,0,0
600687,新宇软件,2000,0,0,0,0,0,0,0
600688,上海石化,2000,0,0,0,0,0,0,0
600689,上海三毛,2000,0,0,0,0,0,0,0
600690,青岛海尔,2000,1,0,0,0,0,11,11
600691,东新电碳,2000,0,0,0,0,0,0,0
600692,亚通股份,2000,0,0,0,0,0,0,0
600693,东百集团,2000,0,0,0,0,0,0,0
600694,大商股份,2000,0,0,0,0,0,0,0
600695,大江股份,2000,0,0,0,0,0,0,0
600696,利嘉股份,2000,0,0,0,0,0,0,0
600697,欧亚集团,2000,0,0,0,0,0,0,0
600698,ST轻骑,2000,0,0,0,0,0,0,0
600699,辽源得亨,2000,0,0,0,0,0,0,0
600700,数码测绘,2000,0,0,2,0,0,0,2
600701,工大高新,2000,0,1,0,0,0,0,1
600702,沱牌曲酒,2000,0,0,0,0,0,0,0
600703,天颐科技,2000,0,0,0,0,0,0,0
600704,中大股份,2000,0,0,0,0,0,2,2
600705,北亚集团,2000,0,0,0,0,0,0,0
600706,长安信息,2000,0,0,0,0,0,0,0
600707,彩虹股份,2000,0,0,0,0,0,0,0
600708,东海股份,2000,0,0,0,0,0,2,2
600709,ST生态,2000,0,0,0,0,0,0,0
600710,常林股份,2000,0,0,0,0,0,0,0
600711,雄震集团,2000,0,0,0,0,0,0,0
600712,南宁百货,2000,0,0,0,0,0,0,0
600713,南京医药,2000,0,0,0,0,0,0,0
600714,山川股份,2000,0,0,0,0,0,0,0
600715,ST松辽,2000,0,0,0,0,0,0,0
600716,耀华玻璃,2000,0,0,0,0,0,0,0
600717,天津港,2000,0,0,0,0,0,0,0
600718,东软股份,2000,1,0,3,0,0,9,12
600719,大连热电,2000,0,0,0,0,0,0,0
600720,祁连山,2000,0,0,0,0,0,0,0
600721,PT百花,2000,0,0,0,0,0,0,0
600722,沧州化工,2000,0,0,0,0,0,0,0
600723,首商股份,2000,0,0,0,0,0,4,4
600724,宁波富达,2000,0,0,0,0,0,0,0
